geo,country_name,time,sex,age,indicator_code,indicator_label,value,unit,data_suppressed,source_dataset
RS,Serbia,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,28.5,PC,False,hlth_ehis_pe3
SE,Sweden,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,85.0,PC,False,hlth_ehis_pe3
SE,Sweden,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,77.5,PC,False,hlth_ehis_pe3
SI,Slovenia,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,78.7,PC,False,hlth_ehis_pe3
SI,Slovenia,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,77.1,PC,False,hlth_ehis_pe3
SK,Slovakia,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,67.3,PC,False,hlth_ehis_pe3
SK,Slovakia,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,47.6,PC,False,hlth_ehis_pe3
TR,Türkiye,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,5.2,PC,False,hlth_ehis_pe3
TR,Türkiye,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,4.0,PC,False,hlth_ehis_pe3
UK,United Kingdom,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,65.4,PC,False,hlth_ehis_pe3
AT,Austria,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,82.4,PC,False,hlth_ehis_pe3
AT,Austria,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,77.8,PC,False,hlth_ehis_pe3
BE,Belgium,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,64.4,PC,False,hlth_ehis_pe3
BE,Belgium,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,60.5,PC,False,hlth_ehis_pe3
BG,Bulgaria,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,30.2,PC,False,hlth_ehis_pe3
BG,Bulgaria,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,28.4,PC,False,hlth_ehis_pe3
CY,Cyprus,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,39.0,PC,False,hlth_ehis_pe3
CY,Cyprus,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,33.5,PC,False,hlth_ehis_pe3
CZ,Czechia,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,65.3,PC,False,hlth_ehis_pe3
CZ,Czechia,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,60.8,PC,False,hlth_ehis_pe3
DE,Germany,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,77.3,PC,False,hlth_ehis_pe3
DE,Germany,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,83.9,PC,False,hlth_ehis_pe3
DK,Denmark,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,83.3,PC,False,hlth_ehis_pe3
DK,Denmark,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,83.6,PC,False,hlth_ehis_pe3
EE,Estonia,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,56.8,PC,False,hlth_ehis_pe3
EE,Estonia,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,61.4,PC,False,hlth_ehis_pe3
EL,Greece,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,40.6,PC,False,hlth_ehis_pe3
EL,Greece,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,52.3,PC,False,hlth_ehis_pe3
ES,Spain,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,51.9,PC,False,hlth_ehis_pe3
ES,Spain,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,59.7,PC,False,hlth_ehis_pe3
EU27_2020,European Union - 27 countries (from 2020),2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,56.7,PC,False,hlth_ehis_pe3
EU27_2020,European Union - 27 countries (from 2020),2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,60.1,PC,False,hlth_ehis_pe3
EU28,European Union - 28 countries (2013-2020),2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,57.2,PC,False,hlth_ehis_pe3
FI,Finland,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,80.8,PC,False,hlth_ehis_pe3
FR,France,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,61.0,PC,False,hlth_ehis_pe3
FR,France,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,61.6,PC,False,hlth_ehis_pe3
HR,Croatia,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,29.6,PC,False,hlth_ehis_pe3
HR,Croatia,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,50.0,PC,False,hlth_ehis_pe3
HU,Hungary,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,58.0,PC,False,hlth_ehis_pe3
HU,Hungary,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,58.6,PC,False,hlth_ehis_pe3
IE,Ireland,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,62.1,PC,False,hlth_ehis_pe3
IE,Ireland,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,62.6,PC,False,hlth_ehis_pe3
IS,Iceland,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,83.4,PC,False,hlth_ehis_pe3
IS,Iceland,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,88.3,PC,False,hlth_ehis_pe3
IT,Italy,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,38.3,PC,False,hlth_ehis_pe3
IT,Italy,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,43.4,PC,False,hlth_ehis_pe3
LT,Lithuania,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,53.3,PC,False,hlth_ehis_pe3
LT,Lithuania,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,49.6,PC,False,hlth_ehis_pe3
LU,Luxembourg,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,80.7,PC,False,hlth_ehis_pe3
LU,Luxembourg,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,77.1,PC,False,hlth_ehis_pe3
LV,Latvia,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,57.8,PC,False,hlth_ehis_pe3
LV,Latvia,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,61.3,PC,False,hlth_ehis_pe3
MT,Malta,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,52.9,PC,False,hlth_ehis_pe3
MT,Malta,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,38.0,PC,False,hlth_ehis_pe3
NL,Netherlands,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,67.5,PC,False,hlth_ehis_pe3
NO,Norway,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,76.8,PC,False,hlth_ehis_pe3
NO,Norway,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,87.9,PC,False,hlth_ehis_pe3
PL,Poland,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,38.9,PC,False,hlth_ehis_pe3
PL,Poland,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,40.6,PC,False,hlth_ehis_pe3
PT,Portugal,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,52.9,PC,False,hlth_ehis_pe3
PT,Portugal,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,54.2,PC,False,hlth_ehis_pe3
RO,Romania,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,13.1,PC,False,hlth_ehis_pe3
RO,Romania,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,13.5,PC,False,hlth_ehis_pe3
RS,Serbia,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,26.5,PC,False,hlth_ehis_pe3
SE,Sweden,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,82.2,PC,False,hlth_ehis_pe3
SE,Sweden,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,81.8,PC,False,hlth_ehis_pe3
SI,Slovenia,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,79.7,PC,False,hlth_ehis_pe3
SI,Slovenia,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,81.1,PC,False,hlth_ehis_pe3
SK,Slovakia,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,61.0,PC,False,hlth_ehis_pe3
